payment_id,customer_id,amount_cents
C6-PMT15,C6,94117
C6-PMT16,C6,10120
C6-PMT17,C6,96707
C6-PMT18,C6,106195
C6-PMT19,C6,19694
C6-PMT20,C6,222106
C6-PMT21,C6,47817
C6-PMT22,C6,118954
C6-PMT23,C6,166986
C6-PMT24,C6,93991
C6-PMT25,C6,98880
C6-PMT26,C6,72212
C6-PMT27,C6,92441
C6-PMT28,C6,13188
C6-PMT29,C6,37899
C6-PMT30,C6,184592
C7-PMT1,C7,88246
C7-PMT2,C7,194924
C7-PMT3,C7,156755
C7-PMT4,C7,230893
C7-PMT5,C7,61249
C7-PMT6,C7,69731
C7-PMT7,C7,31716
C7-PMT8,C7,213162
C7-PMT9,C7,122705
C7-PMT10,C7,159223
C7-PMT11,C7,202127
C7-PMT12,C7,77089
C7-PMT13,C7,250532
C7-PMT14,C7,117407
C7-PMT15,C7,55357
C7-PMT16,C7,213045
C7-PMT17,C7,14196
C7-PMT18,C7,126954
C7-PMT19,C7,27001
C7-PMT20,C7,60993
C7-PMT21,C7,142859
C7-PMT22,C7,287117
C8-PMT1,C8,195133
C8-PMT2,C8,60798
C8-PMT3,C8,24902
C8-PMT4,C8,129612
C8-PMT5,C8,156763
C8-PMT6,C8,28550
C8-PMT7,C8,106709
C8-PMT8,C8,184237
C8-PMT9,C8,137173
C8-PMT10,C8,79650
C8-PMT11,C8,192772
C8-PMT12,C8,23100
C8-PMT13,C8,122473
C8-PMT14,C8,139450
C8-PMT15,C8,85937
C8-PMT16,C8,79492
C8-PMT17,C8,5935
C8-PMT18,C8,33437
C8-PMT19,C8,42806
C8-PMT20,C8,122904
C8-PMT21,C8,154231
C8-PMT22,C8,42048
C8-PMT23,C8,135388
C8-PMT24,C8,48600
C8-PMT25,C8,58835
C8-PMT26,C8,56111
C8-PMT27,C8,118473
C9-PMT1,C9,292871
C9-PMT2,C9,51043
C9-PMT3,C9,8259
C9-PMT4,C9,139376
C9-PMT5,C9,129772
C9-PMT6,C9,9342
C9-PMT7,C9,119724
C9-PMT8,C9,123342
C9-PMT9,C9,42966
C9-PMT10,C9,21200
C9-PMT11,C9,87927
C9-PMT12,C9,45762
C9-PMT13,C9,86752
C9-PMT14,C9,163126
C9-PMT15,C9,17646
C9-PMT16,C9,40587
C9-PMT17,C9,167798
C9-PMT18,C9,91703
C9-PMT19,C9,18419
C9-PMT20,C9,126393
C9-PMT21,C9,42703
C9-PMT22,C9,148877
C9-PMT23,C9,18010
C9-PMT24,C9,169395
C9-PMT25,C9,116645
C9-PMT26,C9,100008
C9-PMT27,C9,168131
C10-PMT1,C10,45047
C10-PMT2,C10,19924
C10-PMT3,C10,49368
C10-PMT4,C10,42639
C10-PMT5,C10,50561
C10-PMT6,C10,20245
C10-PMT7,C10,104658
C10-PMT8,C10,127381
C10-PMT9,C10,127375
C10-PMT10,C10,27456
C10-PMT11,C10,13170
C10-PMT12,C10,41602
C10-PMT13,C10,98870
C10-PMT14,C10,52625
C10-PMT15,C10,123018
C10-PMT16,C10,13996
C10-PMT17,C10,54653
C10-PMT18,C10,139634
C10-PMT19,C10,55036
C10-PMT20,C10,88292
C10-PMT21,C10,138361
C10-PMT22,C10,119543
C10-PMT23,C10,68461
C10-PMT24,C10,87469
C10-PMT25,C10,65339
C10-PMT26,C10,8397
C10-PMT27,C10,130477
C10-PMT28,C10,50397
C10-PMT29,C10,55582
